# Time-averaged data for fix RDFALL7
# TimeStep Number-of-rows
# Row c_7[1] c_7[2] c_7[3] c_7[4] c_7[5] c_7[6] c_7[7] c_7[8] c_7[9] c_7[10] c_7[11] c_7[12] c_7[13] c_7[14] c_7[15] c_7[16]
0 1000
1 0.005 0 0 -6.84357e-09 0 0 -6.84357e-09 0 0 -6.84357e-09 0 0 -6.84357e-09 0 0 -6.84357e-09
2 0.015 0 0 -1.30028e-07 0 0 -1.30028e-07 0 0 -1.30028e-07 0 0 -1.30028e-07 0 0 -1.30028e-07
3 0.025 0 0 -4.72206e-07 0 0 -4.72206e-07 0 0 -4.72206e-07 0 0 -4.72206e-07 0 0 -4.72206e-07
4 0.035 0 0 -1.14288e-06 0 0 -1.14288e-06 0 0 -1.14288e-06 0 0 -1.14288e-06 0 0 -1.14288e-06
5 0.045 0 0 -2.25153e-06 0 0 -2.25153e-06 0 0 -2.25153e-06 0 0 -2.25153e-06 0 0 -2.25153e-06
6 0.055 0 0 -3.90768e-06 0 0 -3.90768e-06 0 0 -3.90768e-06 0 0 -3.90768e-06 0 0 -3.90768e-06
7 0.065 0 0 -6.2208e-06 0 0 -6.2208e-06 0 0 -6.2208e-06 0 0 -6.2208e-06 0 0 -6.2208e-06
8 0.075 0 0 -9.30041e-06 0 0 -9.30041e-06 0 0 -9.30041e-06 0 0 -9.30041e-06 0 0 -9.30041e-06
9 0.085 0 0 -1.3256e-05 0 0 -1.3256e-05 0 0 -1.3256e-05 0 0 -1.3256e-05 0 0 -1.3256e-05
10 0.095 0 0 -1.81971e-05 0 0 -1.81971e-05 0 0 -1.81971e-05 0 0 -1.81971e-05 0 0 -1.81971e-05
11 0.105 0 0 -2.42331e-05 0 0 -2.42331e-05 0 0 -2.42331e-05 0 0 -2.42331e-05 0 0 -2.42331e-05
12 0.115 0 0 -3.14736e-05 0 0 -3.14736e-05 0 0 -3.14736e-05 0 0 -3.14736e-05 0 0 -3.14736e-05
13 0.125 0 0 -4.0028e-05 0 0 -4.0028e-05 0 0 -4.0028e-05 0 0 -4.0028e-05 0 0 -4.0028e-05
14 0.135 0 0 -5.0006e-05 0 0 -5.0006e-05 0 0 -5.0006e-05 0 0 -5.0006e-05 0 0 -5.0006e-05
15 0.145 0 0 -6.15168e-05 0 0 -6.15168e-05 0 0 -6.15168e-05 0 0 -6.15168e-05 0 0 -6.15168e-05
16 0.155 0 0 -7.46702e-05 0 0 -7.46702e-05 0 0 -7.46702e-05 0 0 -7.46702e-05 0 0 -7.46702e-05
17 0.165 0 0 -8.95755e-05 0 0 -8.95755e-05 0 0 -8.95755e-05 0 0 -8.95755e-05 0 0 -8.95755e-05
18 0.175 0 0 -0.000106342 0 0 -0.000106342 0 0 -0.000106342 0 0 -0.000106342 0 0 -0.000106342
19 0.185 0 0 -0.00012508 0 0 -0.00012508 0 0 -0.00012508 0 0 -0.00012508 0 0 -0.00012508
20 0.195 0 0 -0.000145898 0 0 -0.000145898 0 0 -0.000145898 0 0 -0.000145898 0 0 -0.000145898
21 0.205 0 0 -0.000168906 0 0 -0.000168906 0 0 -0.000168906 0 0 -0.000168906 0 0 -0.000168906
22 0.215 0 0 -0.000194214 0 0 -0.000194214 0 0 -0.000194214 0 0 -0.000194214 0 0 -0.000194214
23 0.225 0 0 -0.00022193 0 0 -0.00022193 0 0 -0.00022193 0 0 -0.00022193 0 0 -0.00022193
24 0.235 0 0 -0.000252165 0 0 -0.000252165 0 0 -0.000252165 0 0 -0.000252165 0 0 -0.000252165
25 0.245 0 0 -0.000285028 0 0 -0.000285028 0 0 -0.000285028 0 0 -0.000285028 0 0 -0.000285028
